Developer35          Neighborhood80       Brick      2020       NO         NO         22         7          128.40
Developer60          Neighborhood2        Panel      2019       NO         YES        26         29         84.00
Developer99          Neighborhood25       Brick      2019       NO         NO         82         46         43.30
Developer31          Neighborhood72       Panel      2018       YES        NO         104        1          110.30
Developer0           Neighborhood9        Panel      2016       YES        YES        13         5          71.90
Developer8           Neighborhood56       Panel      2016       NO         NO         80         16         105.20
Developer52          Neighborhood8        Monolith   2015       YES        NO         68         37         62.60
Developer91          Neighborhood65       Brick      2015       YES        NO         83         41         35.40
Developer79          Neighborhood19       Monolith   2015       YES        YES        66         37         81.10
Developer44          Neighborhood69       Brick      2013       NO         NO         27         12         58.00
Developer9           Neighborhood38       Panel      2011       NO         NO         61         5          91.60
Developer69          Neighborhood24       Panel      2009       YES        YES        46         4          90.90
Developer87          Neighborhood51       Brick      2008       NO         NO         77         30         61.80
Developer81          Neighborhood47       Brick      2008       NO         NO         67         9          93.60
Developer91          Neighborhood69       Panel      2008       NO         NO         13         22         118.00
Developer37          Neighborhood32       Brick      2006       YES        YES        36         29         92.60
Developer63          Neighborhood39       Monolith   2004       YES        YES        24         6          77.80
Developer1           Neighborhood66       Monolith   2004       NO         NO         11         30         118.20
Developer89          Neighborhood73       Monolith   2003       NO         NO         40         40         43.40
Developer43          Neighborhood62       Panel      2003       NO         NO         81         42         38.60
Developer38          Neighborhood29       Panel      2001       YES        YES        53         27         78.50
Developer85          Neighborhood60       Monolith   2001       NO         NO         89         31         112.60
Developer86          Neighborhood24       Brick      1999       YES        NO         58         29         34.80
Developer5           Neighborhood93       Monolith   1997       YES        YES        96         35         51.10
Developer13          Neighborhood43       Brick      1996       NO         NO         39         3          38.60
Developer13          Neighborhood48       Monolith   1994       YES        YES        52         42         105.70
Developer90          Neighborhood53       Brick      1990       NO         NO         41         34         92.40
Developer2           Neighborhood34       Monolith   1987       NO         NO         37         45         58.70
Developer89          Neighborhood44       Panel      1985       NO         NO         44         24         121.10
Developer61          Neighborhood73       Brick      1984       NO         NO         104        14         109.90
Developer28          Neighborhood67       Monolith   1982       YES        NO         94         47         65.40
Developer94          Neighborhood41       Panel      1981       YES        YES        93         21         75.90
Developer74          Neighborhood54       Panel      1980       NO         NO         23         17         52.70
Developer74          Neighborhood24       Monolith   1979       NO         YES        66         22         128.60
